emp_id,name,department,city,age,salary,join_date,rating
101,Aadil,Engineering,Bengaluru,28,85000,2019-03-15,4.5
102,Yaana,Marketing,Mumbai,32,62000,2018-07-01,3.9
103,Sama,Engineering,Hyderabad,25,72000,2021-01-10,4.1
104,Lilith,HR,Delhi,41,58000,2015-11-20,3.6
105,Rohan,Finance,Mumbai,36,91000,2016-05-05,4.3
106,Meera,Engineering,Bengaluru,30,98000,2017-09-12,4.8
107,Kabir,Sales,Delhi,27,45000,2022-02-14,3.2
108,Zoya,Marketing,Pune,29,54000,2020-06-30,4.0
109,Arjun,Finance,Hyderabad,45,120000,2012-04-18,4.6
110,Nisha,Sales,Mumbai,24,40000,2023-01-09,3.5
111,Vikram,Engineering,Pune,38,,2014-08-25,4.2
112,Ananya,HR,Bengaluru,33,61000,2019-12-01,
113,Farhan,Sales,Delhi,31,52000,2018-03-22,3.8
114,Isha,Engineering,Hyderabad,26,69000,2022-07-19,4.4
115,Dev,Marketing,Mumbai,35,75000,2016-10-03,4.1
